Screen type,Hours,Equipment,Title,File
Image,0,Flowcode / E-blocks3,Introduction to microcontrollers,opening.svg
HTML,0.1,Flowcode / E-blocks3,Learning objectives,CO0001 - LO.html
HTML,0.1,Flowcode / E-blocks3,Equipment,CO0001-LO.docx
HTML,0.2,Flowcode / E-blocks3,Welcome,CP4807 - CPD objectives.htm
YouTube,0.2,Flowcode / E-blocks3,Introducing E-blocks 3,https://youtu.be/KmpyVmv6J_Y?si=bzAVMntlAOE_-Rlv
YouTube,0.2,Flowcode / E-blocks3,Introducing Flowcode,https://youtu.be/tDdptTbvDM0?si=19xqKAzPCOO3In5e
PDF,0.2,Flowcode / E-blocks3,E-blocks datasheet,https://www.matrixtsl.com/wp-content/uploads/2026/03/CP9645-Eblocks-3-Datasheet-1.pdf
Powerpoint,0.3,Flowcode / E-blocks3,Microcontroller basics 1,Microcontroller basics 1 24 02 26.pptx
Powerpoint,0.3,Flowcode / E-blocks3,Microcontroller basics 2,Microcontroller basics 2 24 02 26.pptx
HTML,0.1,Flowcode / E-blocks3,Now try the worksheets,Now try the worksheets.htm
HTML,0.1,Flowcode / E-blocks3,Other resources,Other resources.htm
Document,1,Flowcode / E-blocks3,First program,CP4807-1.docx
Document,0.2,Flowcode / E-blocks3,Performing calculations,CP4807-2.docx
Document,0.2,Flowcode / E-blocks3,Connection points,CP4807-3.docx
Document,0.2,Flowcode / E-blocks3,Digital inputs,CP4807-4.docx
HTML,0.2,Flowcode / E-blocks3,Homework 1,CP4807-H1.htm
Document,0.2,Flowcode / E-blocks3,Making decisions,CP4807-5.docx
Image,2,tsestt,test,test.jpg
Image,2,tsestt,test,test.jpg
Image,2,tsestt,test,test.jpg
Document,2,tsestt,test,test.docx
