Screen type,Hours,Equipment,Title,File
Image,0,Flowcode / E-blocks3,Introduction to microcontrollers,LMS Project Assets/CO0001 - FC E-blocks CPD course/CO0001 - opening.png
HTML,0.1,Flowcode / E-blocks3,Learning objectives,LMS Project Assets/CO0001 - FC E-blocks CPD course/CO0001 – LO.HTM
HTML,0.1,Flowcode / E-blocks3,Equipment,LMS Project Assets/CO0001 - FC E-blocks CPD course/CO0001 - Equip.html   [old copy]
HTML,0.2,Flowcode / E-blocks3,Welcome,LMS Project Assets/CP4807 - Introduction to microcontrollers/CP4807 - CPD objectives.htm
YouTube,0.2,Flowcode / E-blocks3,Introducing E-blocks 3,https://youtu.be/KmpyVmv6J_Y?si=bzAVMntlAOE_-Rlv
YouTube,0.2,Flowcode / E-blocks3,Introducing Flowcode,https://youtu.be/tDdptTbvDM0?si=19xqKAzPCOO3In5e
PDF,0.2,Flowcode / E-blocks3,E-blocks datasheet,https://www.matrixtsl.com/wp-content/uploads/2026/03/CP9645-Eblocks-3-Datasheet-1.pdf
Powerpoint,0.3,Flowcode / E-blocks3,Microcontroller basics 1,LMS Project Assets/CO0001 - FC E-blocks CPD course/Microcontroller basics 1 24 02 26.pptx   [old copy]
Powerpoint,0.3,Flowcode / E-blocks3,Microcontroller basics 2,LMS Project Assets/CO0001 - FC E-blocks CPD course/Microcontroller basics 2 24 02 26.pptx   [old copy]
HTML,0.1,Flowcode / E-blocks3,Now try the worksheets,LMS Project Assets/CO0001 - FC E-blocks CPD course/Now try the worksheets.htm   [old copy]
HTML,0.1,Flowcode / E-blocks3,Other resources,LMS Project Assets/CO0001 - FC E-blocks CPD course/Other resources.htm   [old copy]
Document,1,Flowcode / E-blocks3,First program,LMS Project Assets/CP4807 - Introduction to microcontrollers/CP4807-1.docx
Document,0.2,Flowcode / E-blocks3,Performing calculations,LMS Project Assets/CP4807 - Introduction to microcontrollers/CP4807-2.docx
Document,0.2,Flowcode / E-blocks3,Connection points,LMS Project Assets/CP4807 - Introduction to microcontrollers/CP4807-3.docx
Document,0.2,Flowcode / E-blocks3,Digital inputs,LMS Project Assets/CP4807 - Introduction to microcontrollers/CP4807-4.docx
HTML,0.2,Flowcode / E-blocks3,Homework 1,LMS Project Assets/CP4807 - Introduction to microcontrollers/CP4807-H1.htm
Document,0.2,Flowcode / E-blocks3,Making decisions,LMS Project Assets/CP4807 - Introduction to microcontrollers/CP4807-5.docx
Image,2,tsestt,test,LMS Project Assets/CO0001 - FC E-blocks CPD course/test.jpg
Image,2,tsestt,test,LMS Project Assets/CO0001 - FC E-blocks CPD course/test.jpg
Image,2,tsestt,test,LMS Project Assets/CO0001 - FC E-blocks CPD course/test.jpg
Document,2,tsestt,test,LMS Project Assets/CO0001 - FC E-blocks CPD course/test.docx
